factory_name,article_count,latest_article,prevalence_child_labour,prevalence_forced_labour,prevalence_discrimination,prevalence_freedom_of_association,prevalence_working_hours,prevalence_compensation,prevalence_osh,prevalence_contracts,name_lower,os_id,name,address,lat,lng,number_of_workers,is_closed,raw_score,confidence,composite_score,risk_band,rank
Yangon Young Clothig Ltd,1,20/06/2025,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,yangon young clothig ltd,MM2025087WPAE62,Yangon Young Clothig Ltd,"Plot No.126, MyayTaingBlock(51), Thardukan Ind'l Zone, Shwe Pyi Thar Tsp, Yangon",16.9845706,96.0922922,,False,0.625,0.4094,0.2559,Low,83
"Amity (Myanmar) Lingerie Co., Ltd.",1,25/12/2025,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,"amity (myanmar) lingerie co., ltd.",MM20200764DT9PN,"Amity (Myanmar) Lingerie Co., Ltd.","Plot No. 53 Kwin No. 1190 (Kha), East of Gonminn Inn, Industry Group 1, Inndagaw Industrial Complex, Inndagaw Village Tract, Bago Township",17.1978587,96.3847291,,False,0.625,0.4094,0.2559,Low,84
E ENTERPRISES LTD. (MYANMAR) - PAKOKKU,1,06/05/2024,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,e enterprises ltd. (myanmar) - pakokku,MM2025093E4XMBX,E ENTERPRISES LTD. (MYANMAR) - PAKOKKU,"No. 154, Lane -2, Pakokku Industrial Zone, Pakokku Township",21.3394161,95.0702794,,False,0.625,0.4094,0.2559,Low,85
Full Win Safety,1,31/08/2023,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,full win safety,,,,,,,,0.625,0.4094,0.2559,Low,86
Jiashihao (Myanmar),1,05/01/2024,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,jiashihao (myanmar),,,,,,,,0.625,0.4094,0.2559,Low,87
Kaixi Myanmar Fashion,1,25/01/2024,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,kaixi myanmar fashion,,,,,,,,0.625,0.4094,0.2559,Low,88
Myanmar Best Fortune Garment,1,02/07/2024,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,myanmar best fortune garment,,,,,,,,0.625,0.4094,0.2559,Low,89
Myanmar Jiale 1 Fashion Company Limited,1,18/11/2024,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,myanmar jiale 1 fashion company limited,MM2019083RCCK6T,Myanmar Jiale 1 Fashion Company Limited,"Min Aye Yar Road, 13, Shwe Than Lwin Industrial Zone  Hlaing Tharyar Township Yangon Yangon",16.8651794,96.033996,964|964|1001-1500|1001-1500|501-1000|501-1000|501-1000|501-1000|501-1000|501-1000|501-1000|501-1000|501-1000,False,0.625,0.4094,0.2559,Low,90
MEF International Company Limited.,2,24/12/2025,0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.0,mef international company limited.,MM20250872FVRE4,MEF International Company Limited.,"No.C 10-11, Industrial Zone, Laputta Township Ayeyarwaddy Region, Laputta, Ayeyarwaddy",16.149328,94.7562159,,False,0.4688,0.5235,0.2454,Low,91
S.H.UNITED COMPANY LIMITED,1,13/07/2025,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,s.h.united company limited,MM201910780NN99,S.H.UNITED COMPANY LIMITED,"No(72/73/104/105),Matkhayar Minthargyi Maung Pyo Road,, 0, Yangon, Myanmar",16.8497944,96.0743979,,False,0.5625,0.4094,0.2303,Low,92
EO Yangon Co.Ltd,1,29/07/2025,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,eo yangon co.ltd,MM2025087KZ1T54,EO Yangon Co.Ltd,"Yangon-Pyay Road, Pyinmabin Industrial Zone, Mingaladon Township, Yangon.",16.9995776,96.1301227,,False,0.5625,0.4094,0.2303,Low,93
New Fubon,1,31/12/2024,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,new fubon,,,,,,,,0.5625,0.4094,0.2303,Low,94
Mountain Tree,1,21/03/2024,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,mountain tree,,,,,,,,0.5625,0.4094,0.2303,Low,95
Myanmar Chaofa,1,18/01/2024,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,myanmar chaofa,,,,,,,,0.5625,0.4094,0.2303,Low,96
Yoyika Garment,1,10/05/2025,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,yoyika garment,,,,,,,,0.5625,0.4094,0.2303,Low,97
Toe Tet Garment,1,16/12/2023,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,toe tet garment,,,,,,,,0.5625,0.4094,0.2303,Low,98
"Reton Industrial Co., Ltd",3,24/12/2025,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,"reton industrial co., ltd",MM20250871SK8S0,"Reton Industrial Co., Ltd","No.18, Myay Taing Block 21, Mya Sein Yaung Industrial Zone, Hlaing Tharyar Tsp, Yangon",16.8792057,96.0018289,,False,0.3958,0.5809,0.2299,Low,99
